"report_name","report_url","report_source"
"COVID-19 Pandemic Small Business Recovery Grant Program Report - September 2022 Update","https://esd.ny.gov/esd-media-center/reports/covid-19-pandemic-small-business-recovery-grant-program-report-september-2022","https://esd.ny.gov/esd-media-center/reports?tid[]=516"
"Restaurant Return-To-Work Tax Credit Program Quarterly Report - Q3 2022","https://esd.ny.gov/esd-media-center/reports/restaurant-return-work-tax-credit-program-quarterly-report-q3-2022","https://esd.ny.gov/esd-media-center/reports?tid[]=516"
"Empire State Jobs Retention Program - Quarterly Report: 6/30/2022","https://esd.ny.gov/esd-media-center/reports/empire-state-jobs-retention-program-quarterly-report-6302022","https://esd.ny.gov/esd-media-center/reports?tid[]=516"
"Excelsior Jobs Program Quarterly Report: 6/30/2022","https://esd.ny.gov/esd-media-center/reports/excelsior-jobs-program-quarterly-report-6302022","https://esd.ny.gov/esd-media-center/reports?tid[]=516"
"Annual Program Report Fiscal Year 2021-2022","https://esd.ny.gov/sites/default/files/news-articles/Annual-Program-Report-FY-2021-2022-FINAL.pdf","https://esd.ny.gov/esd-media-center/reports?tid[]=516"
"2021 Tourism Economics","https://esd.ny.gov/esd-media-center/reports/2021-tourism-economics","https://esd.ny.gov/esd-media-center/reports?tid[]=516"
"2022 - Annual Report on the State of Small Businesses","https://esd.ny.gov/esd-media-center/reports/2022-annual-report-on-the-state-of-small-businesses","https://esd.ny.gov/esd-media-center/reports?tid[]=516"
"NYSTAR 2022 Annual Report","https://esd.ny.gov/esd-media-center/reports/nystar-2022-annual-report","https://esd.ny.gov/esd-media-center/reports?tid[]=516"
"Empire State Development Quarterly Status Reports: 2022-2023","https://esd.ny.gov/esd-media-center/reports/empire-state-development-quarterly-status-reports-2022-2023","https://esd.ny.gov/esd-media-center/reports?tid[]=516"
"COVID-19 Pandemic Small Business Recovery Grant Program Report - June 2022 Update","https://esd.ny.gov/reports/covid-19-pandemic-small-business-recovery-grant-program-report-june-2022","https://esd.ny.gov/esd-media-center/reports?tid[]=516"
"Restaurant Return-To-Work Tax Credit Program Quarterly Report - Q2 2022","https://esd.ny.gov/restaurant-return-work-tax-credit-program-quarterly-report-q2-2022","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=1"
"Film Tax Credit 2022 Quarterly Reports","https://esd.ny.gov/film-tax-credit-2022-quarterly-reports","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=1"
"Excelsior Jobs Program Quarterly Report: 3/31/2022","https://esd.ny.gov/esd-media-center/reports/excelsior-jobs-program-quarterly-report-3312022","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=1"
"Empire State Jobs Retention Program - Quarterly Report: 3/31/2022","https://esd.ny.gov/esd-media-center/reports/empire-state-jobs-retention-program-quarterly-report-3312022","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=1"
"Commercial Production Tax Credit Program Annual Report: 2020","https://esd.ny.gov/esd-media-center/reports/commercial-production-tax-credit-program-annual-report-2020","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=1"
"COVID-19 Pandemic Small Business Recovery Grant Program Report - March 2022 Update","https://esd.ny.gov/esd-media-center/reports/covid-19-pandemic-small-business-recovery-grant-program-report-march-2022","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=1"
"Restaurant Return-To-Work Tax Credit Program Quarterly Report","https://esd.ny.gov/esd-media-center/reports/restaurant-return-work-tax-credit-program-quarterly-report","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=1"
"Empire State Jobs Retention Program - Quarterly Report: 12/31/2021","https://esd.ny.gov/esd-media-center/reports/empire-state-jobs-retention-program-quarterly-report-12312021","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=1"
"Excelsior Jobs Program Quarterly Report: 12/31/2021","https://esd.ny.gov/esd-media-center/reports/excelsior-jobs-program-quarterly-report-12312021","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=1"
"Centers of Excellence 2021 Report","https://esd.ny.gov/esd-media-center/reports/centers-excellence-2021-report","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=1"
"Linked Deposit 2021 Annual Report","https://esd.ny.gov/esd-media-center/reports/linked-deposit-2021-annual-report","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=2"
"Musical and Theatrical Tax Credit Annual Report: 2021","https://esd.ny.gov/esd-media-center/reports/musical-and-theatrical-tax-credit-annual-report-2021","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=2"
"Commercial Production Tax Credit Program Annual Report: 2019","https://esd.ny.gov/esd-media-center/reports/commercial-production-tax-credit-program-annual-report-2019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=2"
"Entrepreneurship Assistance Centers (EAC) Annual Report 2020-2021","https://esd.ny.gov/esd-media-center/reports/entrepreneurship-assistance-centers-eac-annual-report-2020-2021","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=2"
"I Love New York Hospitality Suite – 2021-22 Season Report","https://esd.ny.gov/esd-media-center/reports/i-love-new-york-hospitality-suite-2021-22-season-report","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=2"
